;MAIS DE TR S;;;TR S;;;DOIS;;;UM;;;NENHUM;N√O RESP.
¡REAS;LG;GPTW ;PERCENTUAL DE GAP;LG ;GPTW;PERCENTUAL DE GAP;LG ;GPTW ;PERCENTUAL DE GAP;LG ;GPTW ;PERCENTUAL DE GAP;GPTW;N√O RESP.
DIRETORIA ADMINISTRATIVA;200;107;87%;18;20;-10%;26;26;0%;21;12;75%;5;0
GERENCIA ARMAZENAGEM EXPEDICAO;85;45;89%;5;8;-38%;4;9;-56%;7;6;17%;2;0
GERENCIA JURIDICO;7;N/A;0%;1;N/A;0%;1;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA SUPRIMENTOS;16;14;14%;2;1;100%;3;0;0%;1;1;0%;0;0
GERENCIA TECNOLOGIA INFORMACAO;18;10;80%;2;0;0%;2;5;-60%;2;1;100%;1;0
GESTAO SECRETARIA;10;9;11%;0;0;0%;1;1;0%;1;0;0%;0;0
SUPERVISAO ALMOXARIFADO;64;23;178%;8;10;-20%;15;10;50%;10;4;150%;2;0
DIRETORIA AGRICOLA;2671;1603;67%;312;254;23%;207;281;-26%;326;221;48%;173;71
GERENCIA CORTE TRANSBORDO TRANSPORTE;876;632;39%;158;85;86%;87;77;13%;54;59;-8%;54;23
GERENCIA MANUTENCAO AUTOMOTIVA;541;236;129%;43;35;23%;46;61;-25%;79;57;39%;54;4
GERENCIA PLANEJ CONTROLE AGR;78;37;111%;1;11;-91%;1;11;-91%;1;10;-90%;1;0
GERENCIA PRODUCAO AGRICOLA NRD;529;342;55%;52;47;11%;16;48;-67%;51;39;31%;16;18
GERENCIA PRODUCAO AGRICOLA PPT;560;276;103%;36;61;-41%;41;67;-39%;112;48;133%;42;23
GERENCIA TECNICO AGRONOMICA;87;76;14%;22;15;47%;16;17;-6%;28;8;250%;6;3
DIRETORIA COMERCIAL NOVOS PRODUTOS;34;25;36%;1;3;-67%;1;3;-67%;0;1;-100%;0;1
GERENCIA COMERCIAL;4;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA ENERGIA ELETRICA;3;N/A;0%;1;N/A;0%;1;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA INOVACAO;1;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA LOGISTICA;15;15;0%;0;1;-100%;0;1;-100%;0;0;0%;0;0
GERENCIA PESQUISA E DESENVOLVIMENTO;2;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA PLANEJAMENTO E PROJETOS;5;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GESTAO PROJETOS COMERCIAIS;1;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
SUPERVISAO COMERCIAL NOVOS PRODUTOS;3;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
DIRETORIA CSC GRCI;38;29;31%;3;4;-25%;8;4;100%;16;7;129%;3;2
GERENCIA CONTABIL E TRIBUTOS DIRETOS;4;5;-20%;0;0;0%;3;1;200%;5;4;25%;1;0
GERENCIA TRIBUTARIA;1;2;-50%;3;3;0%;1;1;0%;4;1;300%;0;1
GESTAO ADM PESSOAL;10;N/A;0%;0;N/A;0%;1;N/A;0%;2;N/A;0%;N/A;N/A
GESTAO AUDITORIA INTERNA;4;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GESTAO DE RISCOS E COMPLIANCE;5;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GESTAO PERFORMANCE MELHORIA CONTINUA;0;N/A;0%;0;N/A;0%;1;N/A;0%;0;N/A;0%;N/A;N/A
GESTAO TECNOLOGIA INFORMACAO;7;N/A;0%;0;N/A;0%;2;N/A;0%;1;N/A;0%;N/A;N/A
SUPERVISAO FINANCEIRA;7;5;40%;0;0;0%;0;1;-100%;4;0;0%;2;1
DIRETORIA FINANCEIRA;20;15;33%;1;2;-50%;1;1;0%;6;0;0%;0;0
GERENCIA CONTABIL;5;N/A;0%;0;N/A;0%;0;N/A;0%;5;N/A;0%;N/A;N/A
GERENCIA FINANCEIRO;4;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
GERENCIA PLANEJAMENTO E CUSTOS;7;6;17%;0;1;-100%;1;0;0%;0;0;0%;0;0
GERENCIA TRIBUTARIA;0;N/A;0%;0;N/A;0%;0;N/A;0%;1;N/A;0%;N/A;N/A
SUPERVISAO OPERACOES FINANCEIRAS RI;4;N/A;0%;1;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
DIRETORIA GENTE E GESTAO;351;240;46%;30;32;-6%;29;31;-6%;47;24;96%;13;6
GERENCIA DESENVOLVIMENTO ORGANIZACIONAL;52;35;49%;6;7;-14%;4;3;33%;13;6;117%;1;1
GERENCIA LABORATORIO;83;48;73%;5;12;-58%;6;13;-54%;10;7;43%;4;0
GERENCIA RECURSOS HUMANOS;27;27;0%;4;1;300%;0;1;-100%;5;0;0%;0;0
GERENCIA SSMAS;40;29;38%;3;2;50%;1;1;0%;6;0;0%;0;2
GESTAO ESG;0;N/A;0%;1;N/A;0%;1;N/A;0%;1;N/A;0%;N/A;N/A
SUPERVISAO ADM PESSOAL E RELACOES TRABALHISTAS;2;N/A;0%;0;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
SUPERVISAO COMUNICACAO;3;N/A;0%;0;N/A;0%;3;N/A;0%;0;N/A;0%;N/A;N/A
SUPERVISAO PROJETOS E ADM PATRIMONIAL;130;78;67%;11;9;22%;12;13;-8%;12;11;9%;8;3
SUPERVISAO TREINAMENTO OPERACIONAL;14;12;17%;0;0;0%;2;0;0%;0;0;0%;0;0
DIRETORIA INDUSTRIAL;513;320;60%;54;45;20%;51;44;16%;50;40;25%;36;8
GERENCIA MANUTENCAO INDUSTRIAL;152;73;108%;12;17;-29%;18;21;-14%;12;16;-25%;10;1
GERENCIA PLANEJAMENTO CONTROLE PRODUCAO;11;11;0%;0;0;0%;0;1;-100%;2;1;100%;0;0
GERENCIA PROCESSOS INDUSTRIAIS NOVOS NEGOCIOS;50;41;22%;11;7;57%;0;3;-100%;2;3;-33%;1;1
GERENCIA PROCESSOS INDUSTRIAIS NRD;147;75;96%;10;9;11%;17;13;31%;21;11;91%;19;1
GERENCIA PROCESSOS INDUSTRIAIS PPT;152;115;32%;20;12;67%;16;6;167%;12;8;50%;6;5
GERENCIA PROJETOS INDUSTRIAIS;1;N/A;0%;1;N/A;0%;0;N/A;0%;0;N/A;0%;N/A;N/A
